timestamp,platform,model,inference_ms,fps,cpu_percent,mem_percent,rss_mb,threads,image_name
2025-08-09 02:32:32,LocalCPU,YOLOv8,2975.1456,0.3361,0.0,75.2,574.93,55,20250809_004036_992688_20231216_150227.jpg
2025-08-09 02:32:33,LocalGPU,YOLOv8,960.9210,1.0407,7.7,79.6,1286.77,56,20250809_004036_992688_20231216_150227.jpg
2025-08-09 02:33:46,LocalCPU,YOLOv8,258.8367,3.8634,0.0,79.3,1330.00,53,latest.jpg
2025-08-09 02:33:46,LocalGPU,YOLOv8,84.5499,11.8273,3.0,79.2,1310.43,53,latest.jpg
LocalCPU,YOLOv8,5212.9176,0.1918,0.0,77.4,565.8
LocalGPU,YOLOv8,959.9593,1.0417,0.0,81.7,1277.1
LocalCPU,YOLOv8,2895.4885,0.3454,79.1,79.1,566.6
LocalGPU,YOLOv8,778.3833,1.2847,83.0,83.0,1252.9
LocalCPU,YOLOv8,156.6477,6.3838,83.4,83.4,1281.5
LocalGPU,YOLOv8,77.7204,12.8666,83.5,83.5,1281.5
LocalCPU,YOLOv8,247.3695,4.0425,81.8,81.8,1278.9
LocalGPU,YOLOv8,80.7478,12.3842,81.9,81.9,1278.9
LocalCPU,YOLOv8,256.2015,3.9032,81.8,81.8,1269.8
LocalGPU,YOLOv8,66.7105,14.9902,81.7,81.7,1250.6
LocalCPU,YOLOv5,5307.9188,0.1884,82.8,82.8,1443.6
LocalCPU,YOLOv8,101.5553,9.8468,82.7,82.7,1414.9
LocalGPU,YOLOv8,76.4337,13.0832,82.7,82.7,1415.8
LocalCPU,YOLOv3-Tiny,330.1024,3.0294,0.0,76.4,711.3
LocalCPU,YOLOv5,6373.1067,0.1569,0.0,78.3,1063.9
LocalCPU,YOLOv8,430.4035,2.3234,0.0,78.3,1049.9
LocalGPU,YOLOv8,769.6187,1.2993,6.5,82.3,1710.5
LocalCPU,YOLOv3-Tiny,350.3273,2.8545,0.0,76.5,711.6
LocalCPU,YOLOv8,2667.8243,0.3748,12.5,77.7,887.3
LocalGPU,YOLOv8,807.2708,1.2387,12.2,82.4,1578.5
LocalCPU,YOLOv3-Tiny,318.2247,3.1424,0.0,77.7,711.4
LocalCPU,YOLOv8,2936.3239,0.3406,0.0,79.2,880.9
LocalGPU,YOLOv8,719.4438,1.3900,10.9,83.6,1580.1
LocalCPU,YOLOv8,138.7908,7.2051,0.0,85.3,1602.9
LocalGPU,YOLOv8,76.1647,13.1294,12.3,85.3,1597.6
LocalCPU,YOLOv8,139.7891,7.1536,0.0,85.9,1612.8
LocalGPU,YOLOv8,74.8212,13.3652,14.5,85.8,1591.5
LocalCPU,YOLOv5,3846.1130,0.2600,0.0,85.4,1783.2
2025-08-10T23:37:50,20230503_141955.jpg,8d5fbce919f157ba6dde18ab578a1cfe4be4a5bf,LocalCPU,YOLOv3-Tiny,381.9447,2.6182,0.0,70.4,774.26,2
2025-08-10T23:39:06,20230503_141955.jpg,8d5fbce919f157ba6dde18ab578a1cfe4be4a5bf,LocalCPU,YOLOv8,7824.2078,0.1278,0.0,78.8,945.2,8
2025-08-10T23:39:08,20230503_141955.jpg,8d5fbce919f157ba6dde18ab578a1cfe4be4a5bf,LocalGPU,YOLOv8,1244.6313,0.8035,20.9,83.1,1605.79,8
2025-08-10T23:39:16,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalCPU,YOLOv8,175.1554,5.7092,0.0,83.9,1649.7,1
2025-08-10T23:39:17,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalGPU,YOLOv8,139.498,7.1686,9.8,83.9,1628.39,1
2025-08-10T23:48:27,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalCPU,MobileNetSSD,184.9835,5.4059,0.0,78.3,551.65,1
2025-08-10T23:48:40,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalCPU,YOLOv3-Tiny,394.0804,2.5376,0.0,80.4,871.23,2
2025-08-10T23:48:56,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalCPU,YOLOv5,4277.1838,0.2338,0.0,83.0,1278.39,1
2025-08-10T23:48:56,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalCPU,YOLOv5,11264.4472,0.0888,0.0,83.1,1301.26,1
2025-08-10T23:49:44,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalCPU,YOLOv8,399.298,2.5044,0.0,81.8,1150.54,1
2025-08-10T23:49:45,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalGPU,YOLOv8,954.7956,1.0473,9.2,85.8,1813.31,1
2025-08-10T23:49:56,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalCPU,YOLOv8,228.4074,4.3781,0.0,86.0,1856.71,1
2025-08-10T23:49:57,20250809_004036_992688_20231216_150227.jpg,3d4941a75835933c8013a3ab83f8a98b1584a2e2,LocalGPU,YOLOv8,95.2423,10.4995,10.1,85.9,1835.37,1
2025-08-10T23:49:59,ced616f09f8addcb6950bc34b7e90fb.jpg,5b24bbb00147470228be9d75a774335a2121e69d,LocalCPU,YOLOv8,257.4909,3.8836,0.0,86.1,1854.33,11
2025-08-10T23:49:59,ced616f09f8addcb6950bc34b7e90fb.jpg,5b24bbb00147470228be9d75a774335a2121e69d,LocalGPU,YOLOv8,80.4996,12.4224,6.0,86.0,1834.25,11
